persona,style,wc,step_count,q_count,action_hits,flesch,clarity,actionability,cognitive_load
combined,questions_first,138.0,3.0,3.0,7.0,43.24108234295417,5.0,5.0,3.0
combined,raw,260.0,14.0,0.0,14.5,42.16612224209901,5.0,5.0,2.5
combined,short_actions,42.0,5.0,0.0,5.0,46.75207692307694,5.0,5.0,3.0
combined,step_by_step,106.5,6.0,0.0,7.5,41.14209510150047,5.0,5.0,3.0
critic,questions_first,112.5,4.5,3.0,6.0,44.226751412429394,5.0,5.0,2.5
critic,raw,200.5,4.0,0.0,7.5,42.069422133410825,4.5,5.0,3.0
critic,short_actions,49.0,5.0,0.0,4.5,37.99024101479917,5.0,5.0,3.0
critic,step_by_step,115.5,6.0,0.0,7.5,36.47878787878791,5.0,5.0,3.0
explainer,questions_first,127.0,3.0,3.0,8.5,45.42242967853045,5.0,5.0,3.0
explainer,raw,362.0,19.0,0.0,15.5,48.655786324236615,4.5,5.0,2.5
explainer,short_actions,59.5,5.0,0.0,5.0,42.66712662337666,5.0,5.0,3.0
explainer,step_by_step,116.0,6.0,0.0,6.0,45.43787975077883,5.0,5.0,3.0
planner,questions_first,132.0,3.0,3.0,7.5,40.21005263157896,5.0,5.0,2.5
planner,raw,284.0,14.0,0.0,15.5,47.77788498592827,4.5,5.0,3.0
planner,short_actions,57.0,5.0,0.0,6.5,41.155835403726726,5.0,5.0,3.0
planner,step_by_step,111.0,6.0,0.0,6.0,46.619805986696235,5.0,5.0,2.5
supporter,questions_first,131.0,3.0,3.0,6.5,39.783926603699356,5.0,5.0,3.0
supporter,raw,193.5,1.5,0.0,5.5,43.437088746286875,5.0,4.5,2.5
supporter,short_actions,54.5,4.5,0.0,5.5,36.8951066053512,5.0,5.0,3.0
supporter,step_by_step,114.0,6.0,0.0,5.5,36.15728412073494,5.0,5.0,3.0
